site_name_norm,imps,clicks,actions,spend,ctr,atr,cpc,cpa,vendor_impression_count,vendor_viewability_score
tropicalfishkeeping.com,8,0,0,0.025,0.0000000000,0.0000000000,0,0,6,83.33
thepartydress.net,8,0,0,0.025,0.0000000000,0.0000000000,0,0,7,14.29
collegian.psu.edu,8,0,0,0.024,0.0000000000,0.0000000000,0,0,7,57.14
sodelicio.us,8,0,0,0.024,0.0000000000,0.0000000000,0,0,5,40.0
ilindoor.com,8,0,0,0.024,0.0000000000,0.0000000000,0,0,7,14.29
vampirediaries.alloyentertainment.com,8,0,0,0.024,0.0000000000,0.0000000000,0,0,5,60.0
my.monster.com,8,0,0,0.024,0.0000000000,0.0000000000,0,0,5,40.0
technewsdaily.com,8,0,0,0.023,0.0000000000,0.0000000000,0,0,5,100.0
wdio.com,8,0,0,0.023,0.0000000000,0.0000000000,0,0,4,75.0
tcmag.com,8,0,0,0.023,0.0000000000,0.0000000000,0,0,6,50.0
wrestlingreport.com,8,0,0,0.022,0.0000000000,0.0000000000,0,0,8,37.5
medicalfaq.net,8,0,0,0.022,0.0000000000,0.0000000000,0,0,3,66.67
laptopmag.com,8,0,0,0.022,0.0000000000,0.0000000000,0,0,5,40.0
fbcoverstreet.com,8,0,0,0.021,0.0000000000,0.0000000000,0,0,10,10.0
apartmentshq.com,8,0,0,0.021,0.0000000000,0.0000000000,0,0,5,20.0
thepensblog.com,8,0,0,0.020,0.0000000000,0.0000000000,0,0,8,12.5
forums.kentucky.com,8,0,0,0.020,0.0000000000,0.0000000000,0,0,7,28.57
sandandsisal.com,8,0,0,0.020,0.0000000000,0.0000000000,0,0,18,27.78
gadsdentimes.com,8,0,0,0.020,0.0000000000,0.0000000000,0,0,7,14.29
imaging-resource.com,8,0,0,0.020,0.0000000000,0.0000000000,0,0,9,11.11
tosh.comedycentral.com,8,0,0,0.020,0.0000000000,0.0000000000,0,0,7,14.29
lyrster.com,8,0,0,0.020,0.0000000000,0.0000000000,0,0,5,40.0
careersinfood.com,8,0,0,0.020,0.0000000000,0.0000000000,0,0,9,11.11
nutcrackerballet.net,8,0,0,0.019,0.0000000000,0.0000000000,0,0,8,12.5
hackint0sh.org,8,0,0,0.019,0.0000000000,0.0000000000,0,0,9,33.33
bravotv.com,8,0,0,0.019,0.0000000000,0.0000000000,0,0,7,57.14
cltampa.com,8,0,0,0.019,0.0000000000,0.0000000000,0,0,3,33.33
twolumps.net,8,0,0,0.018,0.0000000000,0.0000000000,0,0,7,28.57
brfff.com,8,0,0,0.018,0.0000000000,0.0000000000,0,0,7,14.29
blog.gulflive.com,8,0,0,0.018,0.0000000000,0.0000000000,0,0,7,14.29
blog.cleveland.com,8,0,0,0.017,0.0000000000,0.0000000000,0,0,7,14.29
rmgsports2.microsoftadvertisingexchange.com,8,0,0,0.017,0.0000000000,0.0000000000,0,0,6,16.67
classifieds.dailyherald.com,8,0,0,0.016,0.0000000000,0.0000000000,0,0,6,50.0
dvorah.quazen.com,8,0,0,0.016,0.0000000000,0.0000000000,0,0,8,62.5
giants101.com,8,0,0,0.016,0.0000000000,0.0000000000,0,0,11,18.18
145046.appnexus,8,0,0,0.015,0.0000000000,0.0000000000,0,0,6,16.67
examiner.org,8,0,0,0.014,0.0000000000,0.0000000000,0,0,4,25.0
mycalihomeguide.com,8,0,0,0.014,0.0000000000,0.0000000000,0,0,8,12.5
plunderguide.com,8,0,0,0.014,0.0000000000,0.0000000000,0,0,3,100.0
play.kendincos.com,8,0,0,0.014,0.0000000000,0.0000000000,0,0,7,28.57
weeworld.com,8,0,0,0.014,0.0000000000,0.0000000000,0,0,4,50.0
floridastate.rivals.com,8,0,0,0.014,0.0000000000,0.0000000000,0,0,5,60.0
automobilemag.com,8,0,0,0.013,0.0000000000,0.0000000000,0,0,7,28.57
